Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2024-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
Armenia,ARM,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2173874035.52844,2067532467.53247,1063520722.19943,1200012843.51417,1311138636.33807,1507838735.18942,1641698946.23708,1736697182.63351,1952541820.81269,1900438465.96643,1970535935.80291,2182070540.84243,2458706347.955,2899936467.50868,3724967487.29965,5106475890.47117,6686478968.61547,9703722072.8786,12353321001.708,9006718596.46194,9718566996.01031,10502185416.5704,11042356845.1045,11804011412.1342,12131729269.7992,10981745035.9775,10791195836.7939,11933013892.6253,12658281183.7745,13798994781.7745,12445454608.216,13472550881.1561,18664848319.5997,23567103132.8414,
American Samoa,ASM,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,75600000,77000000,67700000,68500000,79200000,84700000,105600000,127200000,139300000,151100000,166000000,178200000,189700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,77296296.2962963,87633333.3333333,107785185.185185,131240740.740741,147377777.777778,162725925.925926,183848148.148148,211792592.592593,243644444.444444,261503703.703704,306881481.481481,379748148.148148,409666666.666667,433366666.666667,472107407.407407,495437037.037037,542696296.296296,598492592.592593,589155555.555555,652892592.592593,712237037.037037,768725925.925926,812069629.62963,856032962.962963,825674074.074074,847755555.555555,894296296.296296,967911111.111111,1088744444.44444,1240296296.2963,1414077777.77778,1484962962.96296,1318414814.81481,1230670370.37037,1211055555.55556,1240344444.44444,1255111111.11111,1318096296.2963,1353218518.51852,1392288888.88889,1455000000,1584474074.07407,1653655555.55556,1404996296.2963,1546348148.14815,1777470370.37037,1940100000,
Australia,AUS,GNI (current US$),NY.GNP.MKTP.CD,18639042982.2469,19661603145.8565,19980803196.9285,21478243436.519,23797763807.6422,26052324168.3719,27249604359.9367,30228804836.6088,32410565185.6904,36149125783.8601,40867686538.8298,44719367155.0987,51818925233.6449,63870595771.9411,88657332350.7738,97511948654.9229,105058096003.993,109574443679.743,117063751652.328,133256844257.639,148418941504.178,176304423545.803,190343153481.187,175907468447.07,191196980290.017,178141139273.033,179224258533.856,186050820539.968,231777608977.829,291704801206.409,300584141905.468,312887865438.212,312976717644.725,303828695896.571,315714285714.286,355487080487.081,387158279849.56,421019062421.251,387082683307.332,377500939967.414,404177792961.734,369008405056.987,385061088708.517,454588817705.3,597177407881.633,669932230528.963,719357920571.909,816938839601.162,1012948608447.62,896123976215.509,1104254232212.38,1342513726715.85,1500520746327.45,1537979196311.6,1430164505121.33,1324170023071.21,1178939238648.74,1290533798811.27,1384664217282.11,1347797789886.92,1300336316181.45,1542094786878.42,1628989553712.72,1652506427600.32,
Austria,AUT,GNI (current US$),NY.GNP.MKTP.CD,6691382264.62102,7421202160.263,7872214461.54585,8499531687.31877,9307253501.28949,10143676838.226,11052240299.1721,11742286478.2278,12596460993.4715,13767505949.4644,15443633765.5464,17953394646.9876,22152287040.8953,29621908075.058,35366590842.1673,40232688630.7972,43082843445.578,51650574473.3994,62141791907.5145,74071758106.0216,82147201659.2214,70953553654.7434,71298486730.6606,72301811705.2245,68089737294.5465,69509477919.6595,98916000000,124038666739.225,133707123593.001,133607136765.471,167219692605.591,173663627578.079,195560524668.169,190907108718.798,203849993976.629,240111095946.499,237117494151.287,211805502311.422,216933192530.013,213816817016.487,195571539888.471,194807930724.607,213150567298.393,261614209917.843,301042148420.889,315422915386.77,337065504176.47,388793244757.766,435655713060.469,401584639080.312,395556468123.334,433140701458.172,409815209653.594,431351356436.825,443168199835.449,378210199399.805,395807521992.608,413348647948.824,450535680731.058,443323100627.45,439547216701.013,486755828420.147,470636395218.873,514443597964.97,
Azerbaijan,AZE,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8890909090.90909,5348000000,445009225.092251,1575393848.46212,1194096387.4604,2413479413.94049,3167324031.41866,3953203901.76583,4461488756.7847,4768012931.52095,5178072731.05201,5562874939.46744,6042087549.01436,7024617521.22393,8166818629.56601,11734666354.9889,18470079299.789,28219348252.7001,43831089798.2035,41022888018.2835,49741091452.7785,61441003132.8908,65735414850.2186,70472288892.4862,73082959455.4451,51379123217.2905,35591412539.2769,39321618331.876,44853080880.9559,46318529411.7647,42422882352.9412,53687352941.1765,73522647058.8235,69157059470.5882,
Burundi,BDI,GNI (current US$),NY.GNP.MKTP.CD,193892004,200819998,211212002,230278000,257986008,157479111.111111,156048000,166971428.571429,169680000,178171428.571429,235283428.571429,243766857.142857,235406857.142857,295982555.669407,336273015.873016,412341587.301587,437150144.927536,537186666.666667,595765555.555556,772336666.666667,921813333.333333,966146666.666667,1005555555.55556,1073595481.44164,974118285.857489,1131604109.70254,1181080844.35491,1103051149.23924,1059467929.76958,1096300427.94028,1117211760.24058,1156153553.73995,1069379682.96184,928818579.07743,913654989.848138,988018268.88428,855125492.320396,960396267.915425,885470740.908452,796772713.286962,884786065.883137,864477157.825014,811709106.906995,766758030.795662,887956197.145997,1099326369.19285,1264550109.90148,1350312449.18461,1607531530.94505,1764475743.23131,2021267251.23096,2218331580.56321,2326835709.91274,2453391158.27712,2698322225.8552,3104359892.4664,2643216720.51299,2725061087.87066,2672837528.12331,2583934017.97374,2664225062.41347,2783915268.94475,3352709390.52411,2647964583.77105,
Belgium,BEL,GNI (current US$),NY.GNP.MKTP.CD,12015560481.3298,12746887551.0091,13611389534.4754,14610401476.4428,16338953142.3323,17809797461.5437,19126919957.1343,20506702120.6355,21933333592.5408,24319041682.726,27089802339.6531,30210254913.2473,37705546695.9949,48300143862.5543,56680050745.6504,66428486344.1922,71947319749.2163,83582818232.9769,102036695273.473,116682691249.312,126898081114.637,104870916992.612,91784983224.4393,86845298619.3294,83204003071.7677,86372091854.0662,120264512371.32,150162393300.918,163105286889.742,164539499385.749,205980494929.986,211977481393.975,236359025094.103,228457699393.657,250882987701.953,294350437876.3,285695114006.515,258857352277.853,264807068237.386,264261508381.506,242895045507.608,241174671366.339,262848882179.059,324156068000.195,374341455841.082,390533497082.023,414131146527.529,477472767241.296,529910842181.875,492240893720.195,488810029890.001,524167615222.764,507665999692.266,534645338501.413,546624135613.253,468878816162.656,480629064768.328,507373706788.236,548107677571.921,541049419119.999,531671614966.383,607143534636.037,592448849483.465,646019915336.446,
Benin,BEN,GNI (current US$),NY.GNP.MKTP.CD,225482255.455014,234942177.019889,235707445.372139,253176507.391541,269046301.817679,289108671.641642,302825235.329871,305821945.28055,324923119.287761,328248234.288019,331127729.566977,331970374.676923,408231847.137933,504376074.185709,556954838.53267,675570202.26034,698408261.922237,749849780.214023,929143478.037752,1187431004.43507,1402351915.6882,1287920221.73451,1261778630.54846,1082048244.78243,1021533996.23385,1024412789.17532,1310102025.28918,1533812227.8114,1595446083.89953,1464137972.15978,1921032674.26561,1955598214.71795,1634867229.43653,2234725478.67986,1562942657.81931,2125371477.98198,2315095220.83592,2238481587.4834,2441702856.3055,3665050653.55803,3507693634.36761,3651633566.79224,4166070196.61166,5311078928.63798,6153203074.87323,6549889470.4113,7003871603.73307,8120524847.77096,9776380267.19374,9705498262.94296,9481809633.43508,10677799705.6696,11074623463.0036,12448828489.0859,13223293312.9317,11295642529.7255,11718306955.2927,12561417739.4821,14105968067.9429,14247234068.1824,15523668017.5704,17597426577.8401,17277505052.2638,19549820769.6235,
Burkina Faso,BFA,GNI (current US$),NY.GNP.MKTP.CD,334894682.092364,353437390.317974,388060887.218984,397465363.444254,413758192.233887,419289007.933023,432185666.746162,449034396.771284,458847289.024177,476700187.621528,458404268.761971,481906450.808234,577291724.45051,674535350.152008,748879457.543383,927901103.013398,967025163.798155,1111036713.833,1464483405.39439,1739271445.26957,1924639586.16346,1766034842.49576,1744188156.6995,1590193580.51632,1454929984.52162,1546793233.87715,2030903449.74309,2361034849.39713,2602940400.66092,2603687670.83392,3093954988.40636,3125829219.943,3344716312.9167,3180859979.73624,1881026831.58861,2369479874.70965,2593450483.0717,2445476192.29881,2802105765.33989,3393482477.33794,2964619500.18339,3178291925.47716,3588060178.93616,4686123788.38184,5406279936.20608,6082308541.21132,6528831607.36995,7603256499.99443,9414697518.37982,9333203850.05682,9807542782.09475,11592644774.9473,12243495087.5098,13080707616.4124,13337500892.7969,11293125664.7767,12261728232.1903,13577334630.1408,15387936815.3249,15326465624.9088,17105876297.3224,18719329996.8482,18029664976.7055,19484760471.3406,
